ID,QC1,QC2,QC3,QC4,QC5
2Q9H4A4,128337.9753,266538.4419,170908.9716,135409.7015,121854.4257
2Q9H4G4,197446.2795,166815.6566,85617.21369,173703.7371,0
2Q9H4M9,216645.371,160725.7819,313215.3903,0,368804.9832
2Q9H6K4,26038.30709,0,0,34394.47157,40480.10391
2Q9H8H3,309439.2246,723305.1117,703073.8204,292648.3613,359782.5465
2Q9H8S9,68286.83998,0,120740.505,52105.46304,0
2Q9HB40,150686.0127,265522.0149,146768.0235,56720.21118,147310.2518
2Q9HB71,39081.6833,39939.50108,0,73855.20784,109815.1409
2Q9HBL0,34375.11501,201269.9267,77846.51073,29301.04798,129696.3566
2Q9HC38,449899.0619,166337.849,71602.94625,781746.0305,220098.7365
2Q9HCU0,0,0,0,46120.32254,0
2Q9HD20,56932.73107,0,0,66896.87377,0
2Q9HDC9,599700.4209,508256.9519,891721.9183,676177.1599,832443.9274
2Q9NP61,85035.23012,0,107901.097,48267.00651,82673.81496
2Q9NPF8,27018.79827,26922.28517,0,0,0
2Q9NPJ3,255285.7806,0,166983.8323,126458.5839,130502.0986
2Q9NQ79,270103.73,255366.432,393381.2203,168860.4017,240663.896
2Q9NQC3,510287.2082,214318.4173,505457.8072,364404.4132,205595.3803
2Q9NR12,123798.8593,106438.1536,70093.68994,70829.25479,37884.86511
2Q9NR31,218983.3843,206491.0604,601002.3153,359085.7972,239904.9995
2Q9NR45,0,304988.9208,387381.7476,297989.6098,164511.9068
2Q9NRX4,205323.91,200366.436,145122.8626,222861.3289,0
2Q9NSD9,37731.53325,35787.7876,193655.1094,94824.13454,0
2Q9NSE4,145862.5438,141283.3571,65509.59212,0,258521.3876
2Q9NTJ5,191453.8038,172106.2896,83754.78425,53642.20359,242622.0365
2Q9NTK5,53955.45013,156720.8856,81808.30855,89107.18809,73358.12563
2Q9NUJ1,158837.4646,171263.6108,103886.5468,0,187672.3051
2Q9NUQ9,132224.1326,268823.2308,329219.9448,73336.92568,78086.70695
2Q9NUV9,238898.624,88924.33399,87695.12345,320950.1884,125742.5993
2Q9NVA2,286901.6186,454316.8201,327136.6704,211318.8005,409363.7875
2Q9NVD7,194876.5711,151517.1267,156138.2878,73867.65566,77791.58052
2Q9NVJ2,53727.96775,0,0,0,83192.86273
2Q9NVZ3,227556.0999,106594.527,80333.92249,0,0
2Q9NX40,36340.31,39404.35659,0,39339.65288,0
2Q9NY15,134762.2462,571536.0501,240989.2499,293689.4521,467011.8177
2Q9NY33,0,83756.19348,0,0,0
2Q9NYL4,205566.1366,158093.4965,386657.5192,149781.2811,235098.6547
2Q9NYL9,95583.67227,96160.94694,0,0,0
