Majority protein IDs,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
P08397,2476800000,2008900000,2166800000,2182700000,2636800000,2693900000,2568100000,2381900000
P08559,688210000,865010000,834830000,914860000,885880000,710750000,697960000,712100000
P08574,1485300000,1635900000,1645600000,1504300000,1822200000,1676900000,1466000000,1723900000
P08579,314890000,338270000,279260000,318630000,385330000,281940000,319440000,328890000
P08581,46157000,30288000,30070000,28842000,23284000,26701000,0,38831000
P08621,1129500000,1651100000,1331100000,1317000000,1500100000,1524900000,1504400000,1686500000
P08648,271140000,154610000,234190000,217300000,284800000,210850000,249020000,174140000
P08708,1144400000,2603200000,2418100000,2153500000,1342800000,3286200000,2859000000,2666100000
P08727,276460000,315230000,249530000,189780000,214550000,263950000,228140000,259240000
P08754,361860000,387570000,363100000,326010000,333760000,420240000,378650000,354360000
P08758,18714000000,16746000000,16191000000,16062000000,17909000000,17751000000,17099000000,17191000000
P08865,8841400000,9262400000,9301700000,8728700000,9025200000,10812000000,9750900000,10756000000
P09001,294370000,162480000,201080000,250830000,262430000,236950000,218280000,228130000
P09012,975840000,1183800000,1022200000,996770000,1013600000,1131600000,905350000,1010900000
Q9UKI9,0,0,0,0,0,0,0,0
P09104,735510000,827330000,857930000,796610000,1001600000,1086300000,939580000,919370000
P09110,330680000,278900000,266740000,299590000,275180000,312790000,325910000,262180000
P09132,109570000,99063000,81276000,73972000,68937000,124640000,121220000,125660000
P09211,21483000000,18821000000,19091000000,19388000000,20161000000,21215000000,19007000000,18420000000
P09234,0,0,0,0,0,0,0,0
P09382,13389000000,13484000000,12751000000,11364000000,15872000000,17873000000,14465000000,14537000000
P09417,486090000,543260000,516090000,367480000,464410000,547700000,441110000,467490000
P09429,16413000000,22343000000,20199000000,20137000000,16681000000,19983000000,18326000000,20455000000
P09455,2235700000,2452900000,2296800000,2379100000,2242100000,2273200000,2265200000,2176800000
P09496,0,69744000,72163000,78848000,0,57450000,63510000,70019000
P09525,1506600000,1512200000,1620200000,1700900000,1459600000,1300100000,1444500000,1355300000
P09543,1559400000,1380600000,1311100000,1132800000,1281200000,1418500000,1327800000,1311200000
P09601,215740000,230330000,213890000,269480000,291080000,307310000,309070000,265050000
P09622,2889800000,2594100000,2514200000,2876500000,2831400000,3180100000,2884100000,2981400000
