"ID","log2sum","n","type"
"Q08257",-0.811905443575773,1,"down"
"Q08752",-0.49009000574931,1,"ns"
"Q08945",-0.653094604234893,1,"down"
"Q09666",0.596663048774319,1,"up"
"Q12768",-0.618103411773637,1,"down"
"Q12797",-0.641696667348241,1,"down"
"Q12904",-0.00615389829212138,1,"ns"
"Q12906",0.0433258900779574,1,"ns"
"Q12907",1.30839172230187,2,"up"
"Q13126",0.436027608266538,1,"ns"
"Q13148",0.554530813292004,1,"up"
"Q13228",-0.849763289524678,2,"down"
"Q13263",-0.0208587591890287,2,"ns"
"Q13310",0.414377912913687,1,"ns"
"Q13347",0.25036013181228,1,"ns"
"Q13418",-0.00694655648003446,1,"ns"
"Q13445",-0.704383587567865,1,"down"
"Q13492",0.100408343309886,1,"ns"
"Q13561",0.0970132300520875,1,"ns"
"Q13564",0.286076574985258,1,"ns"
"Q13576",-0.248530384131621,2,"ns"
"Q13618",0.401856039126136,1,"ns"
"Q13642",-0.583004215396304,1,"down"
"Q13724",0.334909205456302,1,"ns"
"Q13751",-0.16568112390381,1,"ns"
"Q13765",0.200913949591542,1,"ns"
"Q13813",0.700884120698298,5,"up"
"Q13838",0.496017590724407,1,"ns"
"Q14019",-0.662649041706638,1,"down"
"Q14103",0.13064177396093,1,"ns"
"Q14152",0.235487308078318,2,"ns"
"Q14195",-0.634133085695986,3,"down"
"Q14203",0.255077751929025,1,"ns"
"Q14204",-0.359902217303485,5,"ns"
"Q14258",0.474017255277538,1,"ns"
"Q14314",-1.14661650159252,1,"down"
"Q14315",-0.625774183150807,5,"down"
"Q14444",0.458730934116118,1,"ns"
"Q14624",0.283528670454442,1,"ns"
"Q14696",1.22811958900325,1,"up"
"Q14697",0.661499602542168,1,"up"
"Q14764",0.909037541319452,2,"up"
"Q14914",-0.292603914806236,1,"ns"
"Q14974",0.0638748022649164,1,"ns"
"Q15008",0.439675212119525,2,"ns"
"Q15080",0.082080086923677,1,"ns"
"Q15084",-0.185619122208524,2,"ns"
"Q15113",0.096415211851996,2,"ns"
"Q15149",2.36990299380036,17,"up"
"Q15181",-1.96642857948694,1,"down"
"Q15185",0.43197781196337,1,"ns"
"Q15233",-0.31490386136644,1,"ns"
"Q15293",0.788955926519291,1,"up"
"Q15363",0.42173522191117,1,"ns"
"Q15370",0.601636757180555,1,"up"
"Q15393",0.0916855497772802,1,"ns"
"Q15582",0.268927562243418,2,"ns"
"Q15637",0.79477287198987,1,"up"
"Q15642",-0.00911700888676909,1,"ns"
"Q15661",0.00489260074863713,1,"ns"
"Q15717",0.636904433351733,1,"up"
"Q15746",1.17895255023752,1,"up"
"Q15836",-0.0106852855541893,1,"ns"
"Q15907",0.194188039100757,1,"ns"
"Q16363",-0.364757025873922,1,"ns"
"Q16531",-0.674899193362005,2,"down"
"Q16543",-1.12925039164461,3,"down"
"Q16555",-0.755791088150054,4,"down"
"Q16629",0.521496159894264,1,"up"
"Q16666",1.85291587694227,2,"up"
"Q16678",0.602572596326006,1,"up"
"Q16698",-0.43345849652052,1,"ns"
"Q16822",-0.344372234306792,1,"ns"
"Q16851",1.15372690381671,3,"up"
"Q16891",-0.192171907255731,1,"ns"
"Q1KMD3",0.419227846141897,1,"ns"
"Q32P28",-0.148383065465079,1,"ns"
"Q53H12",0.0967231507158159,1,"ns"
"Q53TN4",0.253656391212634,1,"ns"
"Q5KU26",-0.275487341514381,1,"ns"
"Q5SSJ5",0.0338337530383735,2,"ns"
"Q5TCY1",0.106753213743035,1,"ns"
"Q5VST9",0.0953903452209373,1,"ns"
"Q5VTE0",0.694821336762274,2,"up"
"Q5VTT5",0.411205001495965,1,"ns"
"Q5VW38",0.325478617448554,1,"ns"
"Q687X5",0.262726220802955,1,"ns"
"Q6NUK1",-0.930996257470187,1,"down"
"Q6NZI2",0.335215040246103,1,"ns"
"Q6P1X6",-0.461578754582445,1,"ns"
"Q6UWH6",-0.324707060297423,1,"ns"
"Q6UXV4",0.576729025792745,1,"up"
"Q6ZMZ3",0.0954300295994852,2,"ns"
"Q6ZT62",0.40414930288348,1,"ns"
"Q6ZVM7",0.298969272338801,1,"ns"
"Q709C8",0.340541441922483,1,"ns"
"Q70UQ0",-0.523626067313134,2,"down"
"Q71DI3",-1.76613479214078,5,"down"
"Q7KZF4",0.42953703486067,2,"ns"
"Q7L1Q6",-0.925468268608439,1,"down"
"Q7L576",-0.309931694211755,1,"ns"
"Q7Z5R6",-0.0156293164006594,1,"ns"
"Q7Z6Z7",0.106981747299259,1,"ns"
"Q7Z7G0",-0.996415289400652,1,"down"
"Q7Z7H5",0.539205506000157,1,"up"
"Q86VB7",1.05884634129819,7,"up"
"Q86VP6",1.08435804579104,2,"up"
"Q86XH1",0.391970536798485,1,"ns"
"Q8IWA5",-0.414752647902064,1,"ns"
"Q8IZ83",0.209920145631422,1,"ns"
"Q8N183",-0.503530701296721,1,"down"
"Q8N386",0.465710636075738,1,"ns"
"Q8N392",0.747613672693141,1,"up"
"Q8N6H7",0.498768816652789,1,"ns"
"Q8NB12",-0.243703691579583,1,"ns"
"Q8NBJ5",0.527954397001359,4,"up"
"Q8NBJ7",-0.283869935967775,2,"ns"
"Q8NBS9",0.39440837219384,1,"ns"
"Q8NC56",0.370291910180292,1,"ns"
"Q8TAQ2",0.268728061984145,1,"ns"
"Q8TBQ9",0.452959797083308,1,"ns"
"Q8TCJ2",-0.430408750409561,1,"ns"
"Q8TCT8",0.0581836684644699,1,"ns"
"Q8TD55",-0.0482393693133149,2,"ns"
"Q8TED1",0.176389682285169,1,"ns"
"Q8TED4",-0.495979059104473,1,"ns"
"Q8WUM4",-0.219977847848061,2,"ns"
"Q8WZ42",3.00587423270672,39,"up"
"Q92485",1.90010381597234,1,"up"
"Q92504",-0.206685798694202,1,"ns"
"Q92616",0.258123237195045,1,"ns"
"Q92621",0.481533928440112,1,"ns"
